Pathways	Genes of pathway	Enzymes of pathway	Ontology - parents of class	Products of pathway
superpathway of chorismate metabolism	"ubiC // ""ubiF"" // ""ubiH"" // ""ubiG"" // ""ubiI"" // ""ubiD"" // ""ubiA"" // ""ispB"" // ""aroB"" // ""aroG"" // ""aroH"" // ""aroF"" // ""aroC"" // ""aroA"" // ""aroL"" // ""aroK"" // ""aroE"" // ""aroD"" // ""ydiB"" // ""trpC"" // ""trpE"" // ""trpD"" // ""trpA"" // ""trpB"" // ""ilvE"" // ""tyrB"" // ""aspC"" // ""pheA"" // ""tyrA"" // ""entA"" // ""acpT"" // ""acpS"" // ""entD"" // ""entE"" // ""menE"" // ""menC"" // ""entC"" // ""menF"" // ""menD"" // ""menH"" // ""menB"" // ""menI"" // ""menA"" // ""ubiE"" // ""folP"" // ""folC"" // ""folA"" // ""folM"" // ""folK"" // ""folB"" // ""nudB"" // ""folE"" // ""pabB"" // ""pabA"" // ""pabC"" // ""entF"" // ""entB"""	"CHORPYRLY-MONOMER // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON // OCTAPRENYL-METHOXYPHENOL-OH-MONOMER // ""bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase"" // ""2-octaprenylphenol hydroxylase"" // ""3-octaprenyl-4-hydroxybenzoate carboxy-lyase monomer"" // 4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER // ""octaprenyl diphosphate synthase"" // AROB-MONOMER // ""AroG"" // ""AroH"" // ""AroF"" // ""AroC"" // AROA-MONOMER // ""shikimate kinase II"" // ""shikimate kinase I"" // AROE-MONOMER // ""AroD"" //  // PRAI-IGPS // ""anthranilate synthase component II"" // ""anthranilate synthase component I"" // ""anthranilate synthase component II"" // ""tryptophan synthase, &alpha; subunit"" // ""tryptophan synthase, &alpha; subunit"" // ""tryptophan synthase, &beta; subunit dimer"" // ""tryptophan synthase, &beta; subunit dimer"" // ""branched-chain amino-acid aminotransferase"" // ""tyrosine aminotransferase"" // ""aspartate aminotransferase, PLP-dependent"" // ""chorismate mutase / prephenate dehydratase"" // ""chorismate mutase / prephenate dehydrogenase"" // ""<i>holo</i>-EntB dimer"" // ""EntA"" // ""holo-[acyl carrier protein] synthase 2"" // ""AcpS"" // ""2,3-dihydroxybenzoate-AMP ligase"" // ENTD-MONOMER // ""<i>holo</i>-EntB dimer"" //  // ""<i>holo</i> [EntF peptidyl-carrier protein]"" // ""2,3-dihydroxybenzoate-AMP ligase"" // ""<i>holo</i> [EntF peptidyl-carrier protein]"" // ""<i>o</i>-succinylbenzoate-CoA ligase"" // O-SUCCINYLBENZOATE-COA-SYN-MONOMER // ""isochorismate synthase 1"" // ""isochorismate synthase 2"" // ""2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase"" // EG12438-MONOMER //  // ""1,4-dihydroxy-2-naphthoyl-CoA thioesterase"" // DMK-MONOMER // ""bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase"" // ""FolP"" // ""bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase"" // ""dihydrofolate reductase"" // G6862-MONOMER // H2PTERIDINEPYROPHOSPHOKIN-MONOMER // ""dihydroneopterin aldolase"" // DIHYDRONEOPTERIN-MONO-P-DEPHOS-MONOMER // ""dihydroneopterin triphosphate pyrophosphohydrolase"" // ""GTP cyclohydrolase I"" // ""PabB"" // ""PabA"" // ""pabC"""	Superpathways	
superpathway of D-glucarate and D-galactarate degradation	"gudD // ""garL"" // ""garR"" // ""garD"" // ""garK"" // ""glxK"""	"<i>D</i>-glucarate dehydratase //  // TSA-REDUCT-MONOMER // GALACTARDEHYDRA-MONOMER // ""glycerate kinase I"" // ""glycerate kinase II"""	Superpathways	
superpathway of fatty acid biosynthesis I (E. coli)	"accD // ""accA"" // ""accC"" // ""accB"" // ""fabD"" // ""fabH"" // ""fabA"" // ""fabZ"" // ""fabI"" // ""fabG"" // ""fabB"" // ""fabF"" // ""entB"" // ""acpP"""	" //  // ""biotin carboxyl carrier protein (dimer)"" // MALONYL-COA-ACP-TRANSACYL-MONOMER // ""KASIII"" // ""&beta;-hydroxyacyl-ACP dehydratase/isomerase"" // ""3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"" // ""enoyl-[acyl-carrier-protein] reductase"" // ""3-oxoacyl-[acyl-carrier-protein] reductase"" // ""KASI"" // ""KASII"""	"Fatty Acid Biosynthesis // ""Superpathways"""	
superpathway of fatty acid biosynthesis initiation (E. coli)	"accD // ""accA"" // ""accC"" // ""accB"" // ""fabD"" // ""fabF"" // ""fabB"" // ""fabH"" // ""acpP"" // ""entB"""	" //  // ""biotin carboxyl carrier protein (dimer)"" // MALONYL-COA-ACP-TRANSACYL-MONOMER // ""KASII"" // ""KASI"" // ""KASIII"""	"Fatty Acid Biosynthesis // ""Superpathways"""	"coenzyme A // ""an acetoacetyl-[acp]"" // ""CO<SUB>2</SUB>"""
superpathway of fucose and rhamnose degradation	"fucA // ""fucK"" // ""fucI"" // ""fucU"" // ""rhaD"" // ""rhaB"" // ""rhaA"" // ""rhaM"" // ""aldA"" // ""lldD"" // ""fucO"""	"L-fuculose-phosphate aldolase // ""L-fuculokinase"" // ""L-fucose isomerase"" // ""L-fucose mutarotase"" // ""rhamnulose-1-phosphate aldolase monomer"" // RHAMNULOKIN-MONOMER // ""L-rhamnose isomerase"" // ""L-rhamnose mutarotase"" // ""aldehyde dehydrogenase A, NAD-linked"" // ""L-lactate dehydrogenase"" // ""L-1,2-propanediol oxidoreductase"""	Superpathways	
superpathway of glycol metabolism and degradation	"gcl // ""glxR"" // ""garK"" // ""glxK"" // ""aceB"" // ""glcB"" // ""glcD"" // ""glcE"" // ""glcF"" // ""aldA"" // ""fucO"""	"glyoxylate carboligase // ""tartronate semialdehyde reductase 2"" // ""glycerate kinase I"" // ""glycerate kinase II"" // MALATE-SYNTHASE // MALSYNG-MONOMER // ""glycolate oxidase"" // ""aldehyde dehydrogenase A, NAD-linked"" // ""L-1,2-propanediol oxidoreductase"""	"Alcohols Degradation // ""Superpathways"""	
superpathway of glycolysis and Entner-Doudoroff	"eda // ""edd"" // ""pykA"" // ""pykF"" // ""eno"" // ""gpmM"" // ""pgk"" // ""gapA"" // ""tpiA"" // ""fbaA"" // ""fbaB"" // ""pfkB"" // ""pfkA"" // ""pgi"" // ""ppsA"" // ""fbp"" // ""glpX"" // ""ybhA"" // ""yggF"" // ""gpmA"" // ""zwf"" // ""pgl"""	"multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase // PGLUCONDEHYDRAT-MONOMER // ""pyruvate kinase II"" // ""pyruvate kinase I"" // ""Eno"" // ""2,3-bisphosphoglycerate-independent phosphoglycerate mutase"" // PGK // ""glyceraldehyde 3-phosphate dehydrogenase-A monomer"" // ""triosephosphate isomerase monomer"" // ""fructose bisphosphate aldolase class II"" // ""fructose bisphosphate aldolase class I"" // ""6-phosphofructokinase II"" // ""6-phosphofructokinase I"" //  // ""phosphoenolpyruvate synthetase"" // ""fructose-1,6-bisphosphatase I"" // ""fructose 1,6-bisphosphatase II"" // EG11239-MONOMER // ""fructose-1,6-bisphosphatase"" // ""2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"" // GLU6PDEHYDROG-MONOMER // 6PGLUCONOLACT-MONOMER"	"Generation of Precursor Metabolites and Energy // ""Superpathways"""	"H<SUP>+</SUP> // ""D-gluconate 6-phosphate"" // ""NADPH"""
"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	"aceB // ""glcB"" // ""aceA"" // ""mdh"" // ""fumC"" // ""fumB"" // ""fumA"" // ""sucD"" // ""sucC"" // ""sucA"" // ""sucB"" // ""icd"" // ""gltA"" // ""prpC"" // ""acnA"" // ""acnB"" // ""sdhD"" // ""sdhC"" // ""sdhB"" // ""sdhA"" // ""mqo"" // ""pykA"" // ""pykF"" // ""eno"" // ""gpmM"" // ""pgk"" // ""gapA"" // ""tpiA"" // ""fbaA"" // ""fbaB"" // ""pfkB"" // ""pfkA"" // ""pgi"" // ""ppsA"" // ""fbp"" // ""glpX"" // ""ybhA"" // ""yggF"" // ""gpmA"" // ""aceE"" // ""aceF"" // ""lpd"""	"MALATE-SYNTHASE // MALSYNG-MONOMER // ""isocitrate lyase monomer"" // ""malate dehydrogenase"" // ""fumarase C"" // ""fumarase B"" // ""fumarase A"" // ""succinyl-CoA synthetase, &alpha; subunit"" // ""succinyl-CoA synthetase, &beta; subunit"" // ""2-oxoglutarate dehydrogenase complex"" // ""Icd"" // ""citrate synthase monomer"" // ""2-methylcitrate synthase"" // ""aconitate hydratase 1"" // ""bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase"" // ""succinate:quinone oxidoreductase subcomplex"" // EG12069-MONOMER // ""pyruvate kinase II"" // ""pyruvate kinase I"" // ""Eno"" // ""2,3-bisphosphoglycerate-independent phosphoglycerate mutase"" // PGK // ""glyceraldehyde 3-phosphate dehydrogenase-A monomer"" // ""triosephosphate isomerase monomer"" // ""fructose bisphosphate aldolase class II"" // ""fructose bisphosphate aldolase class I"" // ""6-phosphofructokinase II"" // ""6-phosphofructokinase I"" //  // ""phosphoenolpyruvate synthetase"" // ""fructose-1,6-bisphosphatase I"" // ""fructose 1,6-bisphosphatase II"" // EG11239-MONOMER // ""fructose-1,6-bisphosphatase"" // ""2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"" // ""pyruvate dehydrogenase"" // ""AceF"" // ""lipoamide dehydrogenase"""	"Generation of Precursor Metabolites and Energy // ""Superpathways"""	"acetyl-CoA // ""CO<SUB>2</SUB>"" // ""NADH"""
superpathway of glyoxylate bypass and TCA	"aceB // ""glcB"" // ""aceA"" // ""mdh"" // ""fumC"" // ""fumB"" // ""fumA"" // ""sucD"" // ""sucC"" // ""sucA"" // ""sucB"" // ""lpd"" // ""icd"" // ""gltA"" // ""prpC"" // ""acnA"" // ""acnB"" // ""sdhD"" // ""sdhC"" // ""sdhB"" // ""sdhA"" // ""mqo"""	"MALATE-SYNTHASE // MALSYNG-MONOMER // ""isocitrate lyase monomer"" // ""malate dehydrogenase"" // ""fumarase C"" // ""fumarase B"" // ""fumarase A"" // ""succinyl-CoA synthetase, &alpha; subunit"" // ""succinyl-CoA synthetase, &beta; subunit"" // ""2-oxoglutarate dehydrogenase complex"" // ""Icd"" // ""citrate synthase monomer"" // ""2-methylcitrate synthase"" // ""aconitate hydratase 1"" // ""bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase"" // ""succinate:quinone oxidoreductase subcomplex"" // EG12069-MONOMER"	"Superpathways // ""TCA cycle"""	
superpathway of guanine and guanosine salvage	"gpt // ""hpt"" // ""deoD"" // ""xapA"" // ""gsk"""	"xanthine-guanine phosphoribosyltransferase // ""hypoxanthine phosphoribosyltransferase"" // ""purine nucleoside phosphorylase"" // ""xanthosine phosphorylase"" // ""inosine-guanosine kinase"""	"Guanine and Guanosine Salvage // ""Superpathways"""	
superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	"guaB // ""guaA"" // ""gmk"" // ""nrdA"" // ""nrdB"" // ""nrdD"" // ""nrdE"" // ""nrdF"" // ""ndk"" // ""nrdH"" // ""fldA"" // ""trxA"" // ""trxC"""	"GuaB // ""GMP synthetase"" // ""guanylate kinase"" // ""ribonucleoside diphosphate reductase 1"" // ""ribonucleoside-triphosphate reductase"" // ""ribonucleoside-diphosphate reductase 2"" // ""nucleoside diphosphate kinase"""	"Purine Nucleotides <i>De Novo</i> Biosynthesis // ""Superpathways"""	
superpathway of heme biosynthesis from uroporphyrinogen-III	"hemF // ""hemH"" // ""efeB"" // ""yfeX"" // ""hemE"" // ""hemN"" // ""hemG"""	"coproporphyrinogen III oxidase // PROTOHEME-FERROCHELAT-MONOMER // ""EfeB dimer"" // ""porphyrinogen peroxidase"" // ""uroporphyrinogen decarboxylase"" // ""coproporphyrinogen III dehydrogenase"" // ""protoporphyrinogen oxidase"""	"Heme Biosynthesis // ""Superpathways"""	"CO<SUB>2</SUB> // ""H<sub>2</sub>O"" // ""ferroheme <i>b</i>"" // ""hydrogen peroxide"""
superpathway of hexitol degradation (bacteria)	"mtlD // ""srlD"" // ""kbaY"" // ""kbaZ"" // ""gatY"" // ""gatZ"" // ""gatD"" // ""pykA"" // ""pykF"" // ""eno"" // ""gpmM"" // ""pgk"" // ""gapA"" // ""tpiA"" // ""fbaA"" // ""fbaB"" // ""pfkB"" // ""pfkA"" // ""ppsA"" // ""fbp"" // ""glpX"" // ""ybhA"" // ""yggF"" // ""phoA"" // ""gpmA"""	"mannitol-1-phosphate 5-dehydrogenase // ""SrlD"" // ""tagatose-1,6-bisphosphate aldolase 1"" // ""tagatose-1,6-bisphosphate aldolase 2"" // ""L-galactitol-1-phosphate 5-dehydrogenase"" // ""pyruvate kinase II"" // ""pyruvate kinase I"" // ""Eno"" // ""2,3-bisphosphoglycerate-independent phosphoglycerate mutase"" // PGK // ""glyceraldehyde 3-phosphate dehydrogenase-A monomer"" // ""triosephosphate isomerase monomer"" // ""fructose bisphosphate aldolase class II"" // ""fructose bisphosphate aldolase class I"" // ""6-phosphofructokinase II"" // ""6-phosphofructokinase I"" // ""phosphoenolpyruvate synthetase"" // ""fructose-1,6-bisphosphatase I"" // ""fructose 1,6-bisphosphatase II"" // EG11239-MONOMER // ""fructose-1,6-bisphosphatase"" // ""alkaline phosphatase"" // ""2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"""	"Sugar Alcohols Degradation // ""Superpathways"""	
superpathway of hexuronide and hexuronate degradation	"uxaA // ""uxaB"" // ""uxuB"" // ""uxuA"" // ""kdgK"" // ""eda"" // ""uxaC"" // ""uidA"""	"ALTRODEHYDRAT-MONOMER // ALTRO-OXIDOREDUCT-MONOMER // MANNONOXIDOREDUCT-MONOMER // MANNONDEHYDRAT-MONOMER // ""2-keto-3-deoxygluconokinase"" // ""multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase"" // UXAC-MONOMER // ""&beta;-D-glucuronidase"""	Superpathways	
"superpathway of histidine, purine, and pyrimidine biosynthesis"	"hisD // ""hisC"" // ""hisB"" // ""hisH"" // ""hisF"" // ""hisA"" // ""hisI"" // ""hisG"" // ""purF"" // ""purD"" // ""purL"" // ""purM"" // ""purT"" // ""purC"" // ""purH"" // ""purE"" // ""purK"" // ""guaB"" // ""guaA"" // ""gmk"" // ""purA"" // ""purB"" // ""adk"" // ""atpB"" // ""atpF"" // ""atpE"" // ""atpD"" // ""atpG"" // ""atpA"" // ""atpH"" // ""atpC"" // ""nrdA"" // ""nrdB"" // ""nrdE"" // ""nrdF"" // ""nrdD"" // ""carB"" // ""carA"" // ""pyrB"" // ""pyrI"" // ""pyrC"" // ""pyrE"" // ""pyrF"" // ""pyrD"" // ""pyrH"" // ""ndk"" // ""pyrG"" // ""prs"" // ""deoB"" // ""phnN"" // ""nrdH"" // ""fldA"" // ""trxA"" // ""trxC"""	"HisD // ""histidinol-phosphate aminotransferase"" //  // ""imidazole glycerol phosphate synthase, HisH subunit"" // ""imidazole glycerol phosphate synthase, HisF subunit"" // PRIBFAICARPISOM-MONOMER // HISTCYCLOPRATPPHOS // ""ATP phosphoribosyltransferase"" // ""PurF"" // GLYCRIBONUCSYN-MONOMER // FGAMSYN-MONOMER // ""PurM"" // ""phosphoribosylglycinamide formyltransferase 2"" // ""PurC"" // AICARTRANSIMPCYCLO-CPLX // ""<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase"" // ""<i>N</i><sup>5</sup>-carboxyaminoimidazole ribonucleotide synthetase"" // ""GuaB"" // ""GMP synthetase"" // ""guanylate kinase"" // ""adenylosuccinate synthetase"" // ""adenylosuccinate lyase"" // ""adenylate kinase"" // ""ATP synthase F<sub>0</sub> complex"" // ""ATP synthase F<sub>1</sub> complex"" // ""ribonucleoside diphosphate reductase 1"" // ""ribonucleoside-diphosphate reductase 2"" // ""ribonucleoside-triphosphate reductase"" // ""carbamoyl phosphate synthetase, &beta; chain"" // ""carbamoyl phosphate synthetase, &alpha; chain"" // ""aspartate carbamoyltransferase, catalytic subunit"" // ""aspartate carbamoyltransferase, regulatory subunit"" // ""PyrC"" // ""PyrE"" // ""PyrF"" // ""dihydroorotate dehydrogenase, type 2"" // ""UMP kinase"" // ""nucleoside diphosphate kinase"" // ""CTP synthase"" // PRPPSYN-MONOMER // ""ribose 1-phosphokinase"" // ""phosphopentomutase"" // EG10723-MONOMER"	Superpathways	
superpathway of L-alanine biosynthesis	"ilvE // ""alr"" // ""dadX"" // ""avtA"" // ""iscS"" // ""sufS"" // ""alaB"" // ""alaA"" // ""alaC"""	"branched-chain amino-acid aminotransferase // ""alanine racemase 1, PLP-binding, biosynthetic"" // ""alanine racemase 2, PLP-binding"" // ""valine-pyruvate aminotransferase"" // ""cysteine desulfurase"" // ""L-cysteine desulfurase"" // ""glutamate-pyruvate aminotransferase"" // ""glutamate-pyruvate aminotransferase"" // ""glutamate-pyruvate aminotransferase"""	"L-alanine Biosynthesis // ""Superpathways"""	
superpathway of L-arginine and L-ornithine degradation	"adiA // ""speB"" // ""sad"" // ""gabT"" // ""puuE"" // ""gabD"" // ""speC"" // ""speF"" // ""patD"" // ""patA"" // ""puuD"" // ""puuC"" // ""puuB"" // ""puuA"""	"Adi // ""SpeB"" // ""NAD<sup>+</sup>-dependent succinate semialdehyde dehydrogenase"" // ""4-aminobutyrate aminotransferase"" // ""4-aminobutyrate aminotransferase"" // ""succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>)"" // ""ornithine decarboxylase, biosynthetic"" // ""ornithine decarboxylase, degradative"" // ""&gamma;-aminobutyraldehyde dehydrogenase"" // ""putrescine aminotransferase"" // ""&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase"" // ""&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase"" // ""&gamma;-glutamylputrescine oxidase"" // ""glutamate-putrescine ligase"""	"L-arginine Degradation // ""Superpathways"""	
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	"puuD // ""puuC"" // ""puuB"" // ""puuA"" // ""adiA"" // ""speB"" // ""sad"" // ""gabT"" // ""puuE"" // ""gabD"" // ""patD"" // ""patA"""	"&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase // ""&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase"" // ""&gamma;-glutamylputrescine oxidase"" // ""glutamate-putrescine ligase"" // ""Adi"" // ""SpeB"" // ""NAD<sup>+</sup>-dependent succinate semialdehyde dehydrogenase"" // ""4-aminobutyrate aminotransferase"" // ""4-aminobutyrate aminotransferase"" // ""succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>)"" // ""&gamma;-aminobutyraldehyde dehydrogenase"" // ""putrescine aminotransferase"""	"L-arginine Degradation // ""Superpathways"""	
superpathway of L-asparagine biosynthesis	"asnB // ""asnA"""	"asparagine synthetase B // ""asparagine synthetase A"""	"L-asparagine Biosynthesis // ""Superpathways"""	
superpathway of L-aspartate and L-asparagine biosynthesis	"aspA // ""aspC"" // ""asnB"" // ""asnA"" // ""ansB"" // ""ansA"" // ""iaaA"""	"AspA // ""aspartate aminotransferase, PLP-dependent"" // ""asparagine synthetase B"" // ""asparagine synthetase A"" // ""asparaginase II"" // ""asparaginase I"" // ""isoaspartyl dipeptidase / asparaginase III"""	"Amino Acids Biosynthesis // ""Metabolic Clusters"" // ""Superpathways"""	"L-aspartate // ""ammonium"""
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	"thrB // ""thrC"" // ""aspC"" // ""dapF"" // ""lysA"" // ""dapE"" // ""argD"" // ""serC"" // ""dapD"" // ""dapA"" // ""asd"" // ""thrA"" // ""metL"" // ""lysC"" // ""dapB"" // ""metA"" // ""metE"" // ""metH"" // ""metB"" // ""malY"" // ""metC"""	"homoserine kinase // THRESYN-MONOMER // ""aspartate aminotransferase, PLP-dependent"" // ""diaminopimelate epimerase"" // ""diaminopimelate decarboxylase"" // ""<i>N</i>-succinyl-L-diaminopimelate desuccinylase subunit"" // ""<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase"" //  // ""tetrahydrodipicolinate succinylase"" // ""4-hydroxy-tetrahydrodipicolinate synthase"" // ""Asd"" // ""ThrA"" // ""MetL"" // ""aspartate kinase III"" // ""4-hydroxy-tetrahydrodipicolinate reductase"" // ""homoserine <i>O</i>-succinyltransferase"" // HOMOCYSMET-MONOMER // ""cobalamin-dependent methionine synthase"" // ""MetB"" // ""bifunctional &beta;-cystathionase, PLP-dependent and regulator of maltose regulon"" // ""MetC"""	"Amino Acids Biosynthesis // ""Superpathways"""	
superpathway of L-serine and glycine biosynthesis I	"serC // ""serA"" // ""serB"" // ""glyA"""	" //  // PSERPHOSPHA-MONOMER // ""serine hydroxymethyltransferase"""	"Amino Acids Biosynthesis // ""Superpathways"""	
superpathway of L-threonine biosynthesis	"lysC // ""asd"" // ""thrA"" // ""metL"" // ""thrB"" // ""thrC"" // ""aspC"""	"aspartate kinase III // ""Asd"" // ""ThrA"" // ""MetL"" // ""homoserine kinase"" // THRESYN-MONOMER // ""aspartate aminotransferase, PLP-dependent"""	"Superpathways // ""L-threonine Biosynthesis"""	
superpathway of L-threonine metabolism	"ltaE // ""adhE"" // ""mhpF"" // ""tynA"" // ""tdh"" // ""yiaY"" // ""kbl"" // ""tdcE"" // ""pflB"" // ""pta"" // ""tdcD"" // ""ackA"" // ""ilvD"" // ""ilvE"" // ""ilvC"" // ""ilvI"" // ""ilvH"" // ""ilvB"" // ""ilvN"" // ""ilvG_1"" // ""ilvG_2"" // ""ilvM"" // ""tdcB"" // ""ilvA"""	"low-specificity L-threonine aldolase // ""aldehyde-alcohol dehydrogenase"" // ""acetaldehyde dehydrogenase 2"" // ""copper-containing amine oxidase"" // ""Tdh"" // ""L-threonine dehydrogenase"" // ""Kbl"" // ""2-ketobutyrate formate-lyase / pyruvate formate-lyase 4"" // PYRUVFORMLY-CPLX // ""Pta"" // ""propionate kinase"" // ""acetate kinase"" // ""dihydroxy acid dehydratase"" // ""branched-chain amino-acid aminotransferase"" // ""acetohydroxy acid isomeroreductase"" // ""IlvI"" // ""IlvH"" // ""acetohydroxy acid synthase I, large subunit"" // ""acetohydroxy acid synthase I, small subunit"" // ""acetolactate synthase II, large subunit, N-ter fragment (pseudogene)"" // ""acetolactate synthase II, large subunit, C-ter fragment (pseudogene)"" // ""IlvM"" // ""catabolic threonine dehydratase"" // ""threonine deaminase"""	"Superpathways // ""L-threonine Degradation"""	
superpathway of lipopolysaccharide biosynthesis	"lpxB // ""lpxK"" // ""lpxH"" // ""lpxD"" // ""lpxC"" // ""lpxA"" // ""kdsB"" // ""kdsC"" // ""kdsA"" // ""kdsD"" // ""gutQ"" // ""waaA"" // ""lpxL"" // ""lpxM"" // ""waaC"" // ""waaF"" // ""waaG"" // ""waaP"" // ""waaQ"" // ""waaY"" // ""waaB"" // ""waaO"" // ""waaJ"" // ""waaU"" // ""acpP"" // ""entB"""	"lipid A disaccharide synthase // TETRAACYLDISACC4KIN-MONOMER // EG12666-MONOMER //  // UDPACYLGLCNACDEACETYL-MONOMER // ""LpxA"" // ""3-deoxy-D-<i>manno</i>-octulosonate cytidylyltransferase"" // ""3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase"" // ""3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase"" // ""D-arabinose 5-phosphate isomerase"" // ""D-arabinose 5-phosphate isomerase"" // ""KDO transferase"" // LAUROYLACYLTRAN-MONOMER // MYRISTOYLACYLTRAN-MONOMER // ""ADP-heptose:LPS heptosyltransferase I"" // ""ADP-heptose:LPS heptosyltransferase II"" // ""lipopolysaccharide glucosyltransferase I"" // ""lipopolysaccharide core heptose (I) kinase"" // ""lipopolysaccharide core heptosyltransferase III"" // ""lipopolysaccharide core heptose (II) kinase"" // ""UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"" // ""UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase"" // ""UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase"" // ""lipopolysaccharide core biosynthesis; heptosyl transferase IV; probably hexose transferase"""	"Fatty Acid and Lipid Biosynthesis // ""Superpathways"""	
superpathway of menaquinol-8 biosynthesis I	"ispB // ""menE"" // ""menC"" // ""entC"" // ""menF"" // ""menD"" // ""menH"" // ""menB"" // ""menI"" // ""ubiE"" // ""menA"""	"octaprenyl diphosphate synthase // ""<i>o</i>-succinylbenzoate-CoA ligase"" // O-SUCCINYLBENZOATE-COA-SYN-MONOMER // ""isochorismate synthase 1"" // ""isochorismate synthase 2"" // ""2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase"" // EG12438-MONOMER //  // ""1,4-dihydroxy-2-naphthoyl-CoA thioesterase"" // ""bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase"" // DMK-MONOMER"	"Menaquinol Biosynthesis // ""Superpathways"""	
superpathway of methylglyoxal degradation	"gloA // ""gloB"" // ""yeiG"" // ""gloC"" // ""dld"" // ""yghZ"" // ""dkgB"" // ""dkgA"" // ""yeaE"" // ""yqhD"" // ""gldA"" // ""aldA"" // ""lldD"""	"glyoxalase I // ""glyoxalase II"" //  // ""glyoxalase II"" // DLACTDEHYDROGFAD-MONOMER // ""L-glyceraldehyde 3-phosphate reductase"" // MONOMER0-149 // MONOMER0-148 // ""methylglyoxal reductase"" // ""NADPH-dependent aldehyde reductase"" // ""L-1,2-propanediol dehydrogenase / glycerol dehydrogenase"" // ""aldehyde dehydrogenase A, NAD-linked"" // ""L-lactate dehydrogenase"" // METHYLGLYREDUCT-MONOMER"	"Aldehyde Degradation // ""Superpathways"""	
"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation"	"nagB // ""nagA"" // ""nanE"" // ""nanA"" // ""nanK"""	"glucosamine-6-phosphate deaminase // ""<i>N</i>-acetylglucosamine-6-phosphate deacetylase"" // ""predicted <i>N</i>-acetylmannosamine-6-phosphate epimerase"" // ""<i>N</i>-acetylneuraminate lyase"" // ""<i>N</i>-acetylmannosamine kinase"""	"Amines and Polyamines Degradation // ""Superpathways"""	
superpathway of ornithine degradation	"speF // ""patD"" // ""patA"" // ""puuD"" // ""puuC"" // ""puuB"" // ""puuA"""	"ornithine decarboxylase, degradative // ""&gamma;-aminobutyraldehyde dehydrogenase"" // ""putrescine aminotransferase"" // ""&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase"" // ""&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase"" // ""&gamma;-glutamylputrescine oxidase"" // ""glutamate-putrescine ligase"""	"Amines and Polyamines Degradation // ""Superpathways"""	"CO<SUB>2</SUB> // ""putrescine"""
